parser_identifier,source_url,reason
bmg_research,https://inews.co.uk/news/politics/reform-nine-point-lead-labour-boost-farage-no10-hopes-3838300,bmg_research-article-page
find_out_now,https://www.electoralcalculus.co.uk/blogs/pseph_tactical_2025.html,find_out_now-missing-xlsx-url
more_in_common,https://x.com/LukeTryl/status/1995773549353566658?s=20,more_in_common-social-post
focaldata,https://www.focaldata.com/blog/16-17-year-olds-want-help-navigating-politics,focaldata-blog-page
focaldata,https://www.focaldata.com/blog/focaldata-hope-not-hate-uk-general-election-mrp,focaldata-blog-page
survation,https://www.linkedin.com/pulse/seven-lessons-from-new-38-degrees-x-survation-polling-mcgregor-ey5te,survation-linkedin-page
more_in_common,https://www.moreincommon.org.uk/media/0kffwvpt/jan2026_mrp_tables.xlsx,more_in_common-mrp-output
more_in_common,https://web.archive.org/web/20241117135507/https://www.moreincommon.org.uk/media/w50noqnp/mic-first-vi.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recOvaNqYVMNpSDpc/fldovodKVj4MXgDmO/attCFUJgIiXxY8egA,techne-airtable-wrapper
more_in_common,https://web.archive.org/web/20240926211347/https://www.moreincommon.org.uk/media/0xyne0ke/voting-intention-24-25-september.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recWFxDV7ZPRHZuRW/fldovodKVj4MXgDmO/attj2h4cG24cYUL0T,techne-airtable-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recl3K9BRZ6vUIZd7/fldovodKVj4MXgDmO/attvCnTiGUfOd0f19,techne-airtable-wrapper
more_in_common,https://web.archive.org/web/20241008105805/https://www.moreincommon.org.uk/media/4iyb5qgm/october-voting-intention-tables.xlsx,wayback-wrapper
more_in_common,https://web.archive.org/web/20241202200115/https://www.moreincommon.org.uk/media/qsqbi1zd/labour-100-days-mic-polling.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recOBvdEdO1WNvXu4/fldovodKVj4MXgDmO/attpZQiGsATzSNJZ7,techne-airtable-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recpksd4Anjm7JvRw/fldovodKVj4MXgDmO/att6enZVh2PoKwtBi,techne-airtable-wrapper
opinium,https://web.archive.org/web/20241201220914/https://www.opinium.com/wp-content/uploads/2024/10/VI-2024-10-16-Observer-Tables-v02.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recReuTLSDcH6BXxs/fldovodKVj4MXgDmO/attFd8Mrx8TNyB9nw,techne-airtable-wrapper
bmg_research,https://www.bmgresearch.co.uk/wp-content/uploads/2024/11/October-2024-omni-tables-for-the-i-v2.xlsx,bmg_research-non-xlsx-payload
opinium,https://web.archive.org/web/20241201215210/https://opinium.com/wp-content/uploads/2024/11/VI-2024-10-30-Observer-Tables.xlsx,wayback-wrapper
more_in_common,https://web.archive.org/web/20241202200646/https://www.moreincommon.org.uk/media/pozh33oz/trackers-30-october-1-november.xlsx,wayback-wrapper
opinium,https://web.archive.org/web/20250128221051/https://www.opinium.com/wp-content/uploads/2024/11/VI-2024-11-13-Observer-Tables.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recZPl0snJpvr8UpA/fldovodKVj4MXgDmO/attTfMkt1A4WDYcIM,techne-airtable-wrapper
more_in_common,https://web.archive.org/web/20241123144315/https://www.moreincommon.org.uk/media/yp4f3rct/21-november-vi.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/rec3Pd3IDWqGGBZbM/fldovodKVj4MXgDmO/attpHQgPRNTKfDTtA,techne-airtable-wrapper
bmg_research,https://bmgresearch.com/news/,bmg_research-missing-xlsx-url
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recT9PQeGv9bmWClx/fldovodKVj4MXgDmO/attT40fWgOArnWteo,techne-airtable-wrapper
opinium,https://web.archive.org/web/20241203053722/https://www.opinium.com/wp-content/uploads/2024/11/VI-2024-11-27-Observer-Tables.xlsx,wayback-wrapper
more_in_common,https://web.archive.org/web/20241207100037/https://www.moreincommon.org.uk/media/fnshtp12/december-2-voting-intention.xlsx,wayback-wrapper
find_out_now,https://web.archive.org/web/20241205175438/https://cms.findoutnow.co.uk/app/uploads/2024/12/4th-Dec-VI-Find-Out-Now.xlsx,wayback-wrapper
more_in_common,https://web.archive.org/web/20250122024711/https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.moreincommon.org.uk%2Fmedia%2Ft5hh5rka%2Fvoting-intention-and-trackers.xlsx&wdOrigin=BROWSELINK/,wayback-wrapper
find_out_now,https://web.archive.org/web/20241215211257/https://cms.findoutnow.co.uk/app/uploads/2024/12/11th-Dec-VI-Find-Out-Now.xlsx,wayback-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recpS3U8MliUTq1NE/fldovodKVj4MXgDmO/attVgxroaQS9T5bJC,techne-airtable-wrapper
find_out_now,https://web.archive.org/web/20250109125721/https://cms.findoutnow.co.uk/app/uploads/2025/01/8th-Jan-VI-Find-Out-Now.xlsx,wayback-wrapper
