id	seat	incumbent	conservative	labour	libdems	snp	party	majority
473	Ross, Skye and Lochaber	libdems	9.52	8.32	36.38	37.21	snp	0.82
192	East Dunbartonshire	libdems	15.35	21.83	27.14	28.28	snp	1.14
405	North East Fife	libdems	21.18	8.19	30.98	33.9	snp	2.92
209	Edinburgh West	libdems	21.49	15.38	23.25	30.88	snp	7.63
612	West Aberdeenshire and Kincardine	libdems	26.82	8.28	23.05	36.89	snp	10.06
105	Caithness, Sutherland and Easter Ross	libdems	11.88	12.93	27	40.12	snp	13.12
13	Argyll and Bute	libdems	21.96	11.51	19.9	39.42	snp	17.46
247	Gordon	libdems	14.41	11.92	24.76	43.13	snp	18.37
298	Inverness, Nairn, Badenoch and Strathspey	libdems	11.47	12.53	24.99	44.17	snp	19.18
206	Edinburgh North and Leith	labour	15.29	27.47	17.69	27.61	snp	0.14
441	Paisley and Renfrewshire South	labour	7.84	42.3	1.89	42.65	snp	0.35
379	Motherwell and Wishaw	labour	7.19	42.67	1.47	43.33	snp	0.66
616	West Dunbartonshire	labour	6.68	42.49	1.29	43.77	snp	1.28
180	Dumfries and Galloway	labour	30.26	30.42	2	31.84	snp	1.42
440	Paisley and Renfrewshire North	labour	13.66	38.54	1.52	40.76	snp	2.22
240	Glasgow North	labour	6.32	33.54	11.72	36.24	snp	2.7
238	Glasgow Central	labour	6.06	37.07	4.23	40.86	snp	3.79
4	Aberdeen South	labour	21.12	26.5	13.41	31.57	snp	5.07
197	East Lothian	labour	19.11	32	4.93	37.16	snp	5.16
5	Airdrie and Shotts	labour	7.45	40.05	1.25	45.5	snp	5.45
208	Edinburgh South West	labour	21.09	28.97	5.14	35.22	snp	6.25
239	Glasgow East	labour	3.88	40.08	0.89	46.9	snp	6.82
121	Central Ayrshire	labour	19.4	33.86	1.83	41.24	snp	7.38
19	Ayr, Carrick and Cumnock	labour	22.33	32.24	1.98	39.81	snp	7.57
318	Lanark and Hamilton East	labour	14.12	35.49	1.64	43.82	snp	8.34
243	Glasgow South	labour	10.03	35.56	2.08	44.08	snp	8.52
544	Stirling	labour	22.86	28.92	3.35	38.28	snp	9.36
195	East Kilbride, Strathaven and Lesmahagow	labour	11.87	35.71	1.4	45.79	snp	10.08
160	Cumbernauld, Kilsyth and Kirkintilloch East	labour	6.9	38.13	1.83	48.38	snp	10.24
369	Midlothian	labour	11.2	33.23	4.95	43.6	snp	10.37
205	Edinburgh East	labour	9.92	29.13	6.12	41.83	snp	12.71
309	Kilmarnock and Loudoun	labour	12.26	34.54	0.98	47.32	snp	12.78
3	Aberdeen North	labour	11.44	30.42	5.7	45.23	snp	14.82
336	Linlithgow and East Falkirk	labour	10.96	34.57	2.28	49.45	snp	14.88
341	Livingston	labour	9.7	32.92	1.55	49.32	snp	16.41
396	North Ayrshire and Arran	labour	13.61	30.78	1.35	47.58	snp	16.8
