"day"	"time"	"conseats"	"conpercent"	"labseats"	"labpercent"	"libseats"	"libpercent"	"ukipseats"	"ukippercent"	"snpseats"	"snppercent"	"plaidseats"	"plaidpercent"	"greenseats"	"greenpercent"	"uuseats"	"uupercent"	"sdlpseats"	"sdlppercent"	"dupseats"	"duppercent"	"sinnfeinseats"	"sinnfeinpercent"	"allianceseats"	"alliancepercent"	"otherseats"	"otherpercent"
"2015-02-27"	"22:41:07.937000"																										
"2015-02-28"	"19:05:56.705000"																										
"2015-03-02"	"16:18:44.706000"																										
"2015-03-03"	"08:03:45.343000"																										
"2015-03-04"	"20:01:47.956000"																										
"2015-03-05"	"12:24:47.377000"																										
"2015-03-06"	"12:46:48.284000"																										
"2015-03-07"	"18:16:51.208000"																										
"2015-03-08"	"09:51:19.989000"																										
"2015-03-09"	"16:33:40.626000"																										
"2015-03-10"	"09:37:07.957000"																										
"2015-03-11"	"07:07:34.359000"																										
