code,seats,change,votepercent,votepercentchange
conservative,256,-38,35.91235596361222,-3.4594944228887883
labour,258,67,33.71365636482223,5.734927039565051
libdems,13,-29,9.170997834977916,-14.982385261387337
ukip,4,2,14.31507642686636,10.643273110638408
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,1,0,5.4054594612276015,4.252925538031657
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-2,1.4824539484936758,-2.1892460039589876
total,533,,100.00,
