code,seats,change,votepercent,votepercentchange
conservative,273,-30,33.17967264367525,-3.5693315883472465
labour,283,26,32.69240350991438,3.1368517402151
libdems,14,-42,8.570519658179894,-14.909930370829994
ukip,7,5,14.4247901405888,11.068721290090632
snp,50,44,3.693586950000103,2.005799555994728
plaidcymru,3,0,0.5044872791055296,-0.06359953705147303
green,1,0,5.581353951267898,4.478861464093593
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-3,1.353185867268144,-2.1473725541653472
total,632,,100.00,
