code,seats,change,votepercent,votepercentchange
conservative,265,-38,31.6,-4.33345502606533
labour,292,35,32.41,3.510357343516908
libdems,19,-37,8.87,-14.089362103585524
ukip,3,1,13.89,10.608410427059408
snp,48,42,3.52,1.869668686717655
plaidcymru,3,0,0.49,-0.06547959695437022
green,1,0,5.6,4.521974485231582
uu,0,0,0.28,-0.0637817999676305
sdlp,3,0,0.35,-0.022695326759292755
dup,9,1,0.59,0.025042650390725507
sinnfein,4,-1,0.55,-0.027471207296082767
alliance,0,-1,0.13,-0.013617171874208106
other,3,-2,1.72,-1.9195913604138453
total,650,,100.00,
