code,seats,change,votepercent,votepercentchange
conservative,280,-23,32.81,-3.1234550260653293
labour,282,25,30.38,1.4803573435169106
libdems,26,-30,13.55,-9.409362103585522
ukip,1,-1,10.96,7.678410427059408
snp,38,32,3.13,1.479668686717655
plaidcymru,3,0,0.52,-0.035479596954370196
green,1,0,4.2,3.1219744852315827
uu,0,0,0.3,-0.04378179996763054
sdlp,3,0,0.36,-0.012695326759292747
dup,9,1,0.58,0.015042650390725498
sinnfein,4,-1,0.56,-0.017471207296082758
alliance,0,-1,0.13,-0.013617171874208106
other,3,-2,2.51,-1.1295913604138454
total,650,,100.00,
