code,seats,change,votepercent,votepercentchange
conservative,23,-7,34.856855275339726,-6.348248233063629
labour,23,7,31.34041790223189,1.4749246172206227
libdems,0,0,10.04233892221221,-10.789714155282894
ukip,0,0,15.811353394369483,12.943925217284345
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,5.785775374793632,5.015552468568642
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,2.1632591310530564,-2.2964399147270926
total,46,,99.99999999999999,
