code,seats,change,votepercent,votepercentchange
conservative,260,-34,36.614974501297276,-2.7568758852037334
labour,249,58,32.78508510302174,4.806355777764566
libdems,19,-23,11.209518538393556,-12.943864557971697
ukip,3,1,12.917902770103709,9.246099453875754
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,1,0,4.770493741156626,3.6179598179606813
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-2,1.7020253460270882,-1.969674606425575
total,533,,100.00,
