code,seats,change,votepercent,votepercentchange
conservative,264,-39,33.46183887139806,-3.287165360624435
labour,282,25,32.96244871572226,3.4068969460229823
libdems,26,-30,9.763286748447513,-13.717163280562374
ukip,5,3,13.421311721997904,10.065242871499734
snp,50,44,3.742417793136695,2.0546303991313204
plaidcymru,3,0,0.5277557914155547,-0.040331024741447896
green,1,0,4.569515262615423,3.4670227754411176
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-3,1.551425095266594,-1.949133326166897
total,632,,100.00,
