code,seats,change,votepercent,votepercentchange
conservative,27,-1,31.135082397519568,-3.524447817211417
labour,46,8,39.14617096602831,2.387020021629837
libdems,0,-7,8.063111442370346,-14.117445080477356
ukip,0,0,13.309175585011394,11.515166710581392
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,6.569840852827927,5.371946257636739
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.7766187562424556,-1.632240092159191
total,73,,99.99999999999999,
