code,seats,change,votepercent,votepercentchange
conservative,2,0,19.761365072539174,-3.8718924259834715
labour,27,2,45.301243974217776,1.9211374706712832
libdems,0,-2,11.388789952351798,-12.087189831728248
ukip,0,0,14.198277574160002,11.487476052106803
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,6.407640782132992,5.691144116018764
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,2.9426826445982566,-3.1406753810851353
total,29,,99.99999999999999,
