code,seats,change,votepercent,votepercentchange
conservative,0,0,0.0,0.0
labour,0,0,0.0,0.0
libdems,0,0,0.0,0.0
ukip,0,0,0.0,0.0
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,0.19667688900867564,-0.200054755466279
uu,0,0,15.033835709238716,-0.17584513724099615
sdlp,3,0,16.894981825598588,0.40610145579120527
dup,8,0,24.999380832016083,0.004395698308602647
sinnfein,5,0,25.770936983267895,0.22231061086615256
alliance,1,0,6.080666661810447,-0.2732803722861856
other,1,0,11.023521099059593,0.016372500027499015
total,18,,100.0,
