code,seats,change,votepercent,votepercentchange
conservative,16,-6,26.942998499202815,-4.832594084869974
labour,59,12,40.31307996933623,0.8543589622736718
libdems,0,-6,10.491004214468836,-11.159604888053225
ukip,0,0,14.185262675497896,11.418147114873964
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,6.407210304754204,5.576393485791514
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.660444336740019,-1.8567005900159534
total,75,,99.99999999999999,
