code,seats,change,votepercent,votepercentchange
conservative,265,-38,33.19,-2.731571647805673
labour,298,41,32.26,3.36991460387517
libdems,24,-32,10.59,-12.3617693245366
ukip,3,1,11.88,8.599495665597141
snp,38,32,3.28,1.630214459764952
plaidcymru,2,-1,0.51,-0.045295896996730645
green,1,0,4.49,3.4123309938099053
uu,0,0,0.29,-0.05366810955949036
sdlp,3,0,0.35,-0.022572074499239425
dup,9,1,0.59,0.025229484689879622
sinnfein,4,-1,0.56,-0.01728023459987582
alliance,0,-1,0.13,-0.013569676937338682
other,3,-2,1.88,-1.791458242802102
total,650,,100.00,
