code,seats,change,votepercent,votepercentchange
conservative,4,3,16.88803521711465,0.22909475163019266
labour,4,-36,25.702840219610216,-16.076259821179285
libdems,1,-10,9.348612691376365,-9.43113973935108
ukip,0,0,2.9139434195389384,2.2701471152855737
snp,50,44,40.84500101320957,21.019689816753857
plaidcymru,0,0,0.0,0.0
green,0,0,3.4478693819106216,2.880407138423527
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,-1,0.8536980572396387,-0.8919392615627881
total,59,,100.0,
