code,seats,change,votepercent,votepercentchange
conservative,69,-4,42.13126215035432,-7.769336107888378
labour,12,8,20.91588993433873,4.477267667116713
libdems,0,-3,13.035190445553638,-13.608219308988495
ukip,1,0,15.743468132102949,12.321380761857046
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,1,0,6.617573622146916,5.4537725336552025
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-1,1.5566157155034457,-0.8748655457520957
total,84,,99.99999999999999,
