code,seats,change,votepercent,votepercentchange
conservative,38,2,34.918004331953334,-8.37103651178488
labour,16,12,24.809076244711882,9.248324578503874
libdems,1,-14,16.985577006356525,-18.113830503380104
ukip,0,0,15.860131712026561,12.299285276536194
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,6.373811443724024,5.358249234068857
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.0533992612276744,-0.4209920739439401
total,55,,99.99999999999999,
