code,seats,change,votepercent,votepercentchange
conservative,4,-4,20.388503466128554,-5.728763218234864
labour,33,7,41.43477181627009,5.158568738536545
libdems,0,-3,5.6628264152382535,-14.478988711936111
ukip,0,0,14.890068091478229,12.938216449399356
snp,0,0,0.0,0.0
plaidcymru,3,0,10.085928943193762,-1.2004588654274677
green,0,0,6.166637785049849,5.33971270031357
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.3712634826412562,-2.02828709265103
total,40,,99.99999999999999,
