code,seats,change,votepercent,votepercentchange
conservative,16,-3,28.596942333453345,-4.073886849149442
labour,37,6,36.36914666225548,2.189994722153365
libdems,1,-2,11.136261907773745,-11.679337312984744
ukip,0,0,14.154762947321988,11.368904253696972
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,6.514610436999484,5.4928380719535355
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,-1,3.2282757121959604,-3.2985128856696853
total,54,,100.00000000000001,
