id,seat,area,incumbent,conservative,labour,libdems,ukip,green,snp,plaidcymru,other,sinnfein,sdlp,uu,dup,alliance,change,party,majority,majority2010
407,North East Hertfordshire,eastofengland,conservative,59.37,18.89,7.98,11.31,2.33,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,no,conservative,40.49,30.13
307,Kensington,london,conservative,54.04,31.79,6.1,4.39,3.6,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,no,conservative,22.24,24.51
573,Thornbury and Yate,southwestengland,libdems,40.64,8.61,32.58,13.53,4.46,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,yes,conservative,8.06,14.76
506,South Antrim,northernireland,dup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,13.76,6.94,29.28,35.14,10.44,no,dup,5.86,3.48
36,Belfast North,northernireland,dup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,33.71,10.11,0.0,48.63,6.94,no,dup,14.92,6.01
226,Fermanagh and South Tyrone,northernireland,sinnfein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,46.8,6.08,45.15,0.0,1.87,no,sinnfein,1.65,0.01
103,Bury St. Edmunds,eastofengland,conservative,54.69,19.67,10.67,11.86,3.07,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,35.02,21.08
299,Ipswich,eastofengland,conservative,40.54,34.89,3.9,16.27,3.78,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,no,conservative,5.65,4.43
120,Castle Point,eastofengland,conservative,52.48,18.05,1.53,24.24,1.83,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,no,conservative,28.25,16.95
468,Rochdale,northwestengland,labour,18.61,43.62,16.0,16.43,2.42,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,no,labour,25.01,1.94
381,Neath,wales,labour,13.87,47.02,3.09,12.13,1.76,0.0,21.03,1.09,0.0,0.0,0.0,0.0,0.0,no,labour,25.99,26.33
324,Leeds West,yorkshireandthehumber,labour,19.44,47.28,7.96,18.63,5.33,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,no,labour,27.84,18.1
515,South Leicestershire,eastmidlands,conservative,51.94,21.12,5.24,17.59,3.3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,no,conservative,30.82,28.44
17,Ashton-under-Lyne,northwestengland,labour,24.43,54.62,2.29,12.97,2.25,0.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,no,labour,30.19,23.66
217,Epsom and Ewell,southeastengland,conservative,62.8,14.18,10.09,9.8,3.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,conservative,48.63,29.36
594,Walsall North,westmidlands,labour,35.43,38.5,1.91,17.47,1.96,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,no,labour,3.06,2.74
443,Penistone and Stocksbridge,yorkshireandthehumber,labour,32.42,44.8,6.21,13.7,1.68,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,no,labour,12.39,6.55
382,New Forest East,southeastengland,conservative,57.59,11.52,12.21,14.71,3.94,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,42.88,22.6
136,Chipping Barnet,london,conservative,50.13,29.89,6.12,8.75,4.97,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,no,conservative,20.24,23.57
