code,seats,change,votepercent,votepercentchange
conservative,316,22,41.56453952853109,2.1926891420300834
labour,206,15,30.789666888467327,2.8109375632101496
libdems,6,-36,8.820566695427846,-15.332816400937407
ukip,3,1,13.472384297074559,9.800580980846604
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,1,0,3.9270998263217773,2.7745659031258327
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-2,1.4257427641773959,-2.245957188275267
total,533,,100.00,
