code,seats,change,votepercent,votepercentchange
conservative,326,23,38.54923130207834,1.800227070055847
labour,236,-21,30.548252181065834,0.9927004113665561
libdems,9,-47,8.778198535246554,-14.702251493763333
ukip,3,1,12.44492317972985,9.08885432923168
snp,53,47,4.08928556810192,2.4014981740965453
plaidcymru,3,0,0.5919700151264494,0.023883198969446795
green,1,0,3.635916560051155,2.53342407287685
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-3,1.3622226585999007,-2.1383357628335906
total,632,,100.00,
