code,seats,change,votepercent,votepercentchange
conservative,318,15,36.94,1.017449024777676
labour,240,-17,30.4,1.509126975400136
libdems,15,-41,8.9,-14.052395057095866
ukip,3,1,12.17,8.88739172695541
snp,51,45,3.92,2.27016948177159
plaidcymru,3,0,0.57,0.01468896400819375
green,1,0,3.55,2.470958611744569
uu,0,0,0.38,-0.017928030489091973
sdlp,3,0,0.33,-0.044650454443218524
dup,9,1,0.59,0.010514934362976902
sinnfein,5,0,0.57,-0.0007018348659276752
alliance,0,-1,0.19,0.045419157696898554
other,2,-3,1.49,-2.1100434998233446
total,650,,100.00,
