pollster	type	pollsterweight	date	day	month	year	region	total	conservative	labour	libdems	ukip	green	snp	plaidcymru	other	sdlp	sinnfein	alliance	dup	uu	weight	initialweight	area
me	regional		9/05/2015	9	5	2015	null	10001	4086	3163	821	1412	420			99								
me	regional		9/05/2015	9	5	2015	null	10001	1492	2430	755	162	135	4997		30								
me	regional		9/05/2015	9	5	2015	null	10001	2724	3687	653	1364	256		1213	104								
mori	regional		25/01/16	25	1	2016	North	152	52	55	17	18	6			4								
mori	regional		25/01/16	25	1	2016	Midlands	151	70	44	9	22	6											
mori	regional		25/01/16	25	1	2016	Wales	32	9	15	2	2	3		1									
mori	regional		25/01/16	25	1	2016	SouthMori	149	72	36	15	11	12			3								
mori	regional		25/01/16	25	1	2016	London	82	27	36	3	15	1											
mori	regional		25/01/16	25	1	2016	Scotland	64	22	11		3		28										
icm	regional		17/01/16	17	1	2016	Scotland	50	10	12	4	3		21										
icm	regional		17/01/16	17	1	2016	Wales	33	5	14	1	6			7									
icm	regional		17/01/16	17	1	2016	North	150	56	68	12	12	3											
icm	regional		17/01/16	17	1	2016	Midlands	168	77	50	9	25	5			2								
icm	regional		17/01/16	17	1	2016	SouthICM	214	93	83	10	20	4			1								
survation	regional		17/01/16	17	1	2016	London	98	35	37	8	17	1			0								
survation	regional		17/01/16	17	1	2016	East and West Midlands	139	61	43	6	27	1			0								
survation	regional		17/01/16	17	1	2016	North	200	63	80	8	41	7			1								
survation	regional		17/01/16	17	1	2016	SouthSurvation	253	118	59	21	39	11			4								
survation	regional		17/01/16	17	1	2016	Scotland	68	16	6	3	5		38										
survation	regional		17/01/16	17	1	2016	Wales	49	17	15	6	5			6									
comres	regional		14/01/16	14	1	2016	Scotland	115	22	12	15	9	3	54		0								
comres	regional		14/01/16	14	1	2016	North East England	46	17	18	2	6	2			0								
comres	regional		14/01/16	14	1	2016	North West England	132	47	61	3	15	4			1								
comres	regional		14/01/16	14	1	2016	Yorkshire and Humber	101	36	39	3	20	2											
comres	regional		14/01/16	14	1	2016	West Midlands	106	48	30	6	18	4											
comres	regional		14/01/16	14	1	2016	East Midlands	90	39	25	5	17	4											
comres	regional		14/01/16	14	1	2016	Wales	52	19	19	3	4	1		6									
comres	regional		14/01/16	14	1	2016	East of England	123	65	25	9	22	2											
comres	regional		14/01/16	14	1	2016	London	160	59	59	9	27	5			1								
comres	regional		14/01/16	14	1	2016	South East England	182	83	40	14	35	9			1								
comres	regional		14/01/16	14	1	2016	South West England	107	45	26	12	19	3			2								
icm	regional		20/12/15	20	12	2015	Scotland	51	10	9	2	0	1	26		2								
icm	regional		20/12/15	20	12	2015	Wales	30	11	14		2	1		3	0								
icm	regional		20/12/15	20	12	2015	North	153	52	63	13	22	3			0								
