code,seats,change,votepercent,votepercentchange
conservative,273,-30,33.21,-2.712550975222321
labour,275,18,32.6,3.709126975400139
libdems,24,-32,9.44,-13.512395057095867
ukip,2,0,12.12,8.83739172695541
snp,53,47,3.92,2.27016948177159
plaidcymru,3,0,0.55,-0.005311035991806157
green,1,0,4.46,3.3809586117445694
uu,0,0,0.29,-0.107928030489092
sdlp,3,0,0.35,-0.02465045444321856
dup,9,1,0.58,0.0005149343629768932
sinnfein,5,0,0.57,-0.0007018348659276752
alliance,0,-1,0.13,-0.014580842303101443
other,2,-3,1.76,-1.8400434998233448
total,650,,100.00,
