code,seats,change,votepercent,votepercentchange
conservative,264,-30,36.650963366343234,-2.7208870201577753
labour,243,52,33.801019627416444,5.822290302159267
libdems,22,-20,9.830882266652418,-14.322500829712835
ukip,2,0,13.340706930394989,9.668903614167036
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,1,0,4.877046133222307,3.7245122100263623
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,1,-2,1.4993816759706053,-2.172318276482058
total,533,,100.00,
