code,seats,change,votepercent,votepercentchange
conservative,273,-30,33.19,-2.732550975222324
labour,275,18,32.64,3.749126975400138
libdems,24,-32,9.34,-13.612395057095867
ukip,2,0,12.18,8.897391726955409
snp,53,47,3.93,2.2801694817715896
plaidcymru,3,0,0.55,-0.005311035991806157
green,1,0,4.49,3.4109586117445696
uu,0,0,0.29,-0.107928030489092
sdlp,3,0,0.35,-0.02465045444321856
dup,9,1,0.58,0.0005149343629768932
sinnfein,5,0,0.57,-0.0007018348659276752
alliance,0,-1,0.13,-0.014580842303101443
other,2,-3,1.75,-1.8500434998233448
total,650,,100.00,
