election_id,election_name,as_of_date,party_id,seats_won,vote_pct
612,UNS 2024-07-05,2024-07-05,1,411,34.593790
612,UNS 2024-07-05,2024-07-05,2,5,14.442286
612,UNS 2024-07-05,2024-07-05,3,4,0.733876
612,UNS 2024-07-05,2024-07-05,4,121,22.961757
612,UNS 2024-07-05,2024-07-05,5,72,11.427849
612,UNS 2024-07-05,2024-07-05,6,4,6.828824
612,UNS 2024-07-05,2024-07-05,7,8,3.972045
612,UNS 2024-07-05,2024-07-05,8,9,2.627596
612,UNS 2024-07-05,2024-07-05,9,5,0.615449
612,UNS 2024-07-05,2024-07-05,10,1,0.415718
612,UNS 2024-07-05,2024-07-05,11,1,0.326012
612,UNS 2024-07-05,2024-07-05,12,2,0.313514
612,UNS 2024-07-05,2024-07-05,13,7,0.741286
645,UNS 2024-08-07,2024-08-07,1,403,32.676252
645,UNS 2024-08-07,2024-08-07,2,10,17.287713
645,UNS 2024-08-07,2024-08-07,3,3,0.453012
645,UNS 2024-08-07,2024-08-07,4,133,23.007956
645,UNS 2024-08-07,2024-08-07,5,70,10.898747
645,UNS 2024-08-07,2024-08-07,6,4,7.848221
645,UNS 2024-08-07,2024-08-07,7,8,3.014315
645,UNS 2024-08-07,2024-08-07,8,2,2.178213
645,UNS 2024-08-07,2024-08-07,9,6,0.670886
645,UNS 2024-08-07,2024-08-07,10,1,0.454061
645,UNS 2024-08-07,2024-08-07,11,1,0.353618
645,UNS 2024-08-07,2024-08-07,12,2,0.344255
645,UNS 2024-08-07,2024-08-07,13,7,0.812752
667,UNS 2024-08-29,2024-08-29,1,359,30.658560
667,UNS 2024-08-29,2024-08-29,2,22,17.981497
667,UNS 2024-08-29,2024-08-29,3,3,0.514933
667,UNS 2024-08-29,2024-08-29,4,165,24.187513
667,UNS 2024-08-29,2024-08-29,5,65,10.851019
667,UNS 2024-08-29,2024-08-29,6,4,7.890802
667,UNS 2024-08-29,2024-08-29,7,8,2.774848
667,UNS 2024-08-29,2024-08-29,8,7,2.505256
667,UNS 2024-08-29,2024-08-29,9,6,0.670886
667,UNS 2024-08-29,2024-08-29,10,1,0.454061
667,UNS 2024-08-29,2024-08-29,11,1,0.353618
667,UNS 2024-08-29,2024-08-29,12,2,0.344255
667,UNS 2024-08-29,2024-08-29,13,7,0.812752
702,UNS 2024-10-03,2024-10-03,1,350,30.131138
702,UNS 2024-10-03,2024-10-03,2,28,18.743349
702,UNS 2024-10-03,2024-10-03,3,3,0.484431
702,UNS 2024-10-03,2024-10-03,4,165,23.885772
702,UNS 2024-10-03,2024-10-03,5,66,11.534986
702,UNS 2024-10-03,2024-10-03,6,5,7.525027
702,UNS 2024-10-03,2024-10-03,7,8,2.549308
702,UNS 2024-10-03,2024-10-03,8,8,2.510419
702,UNS 2024-10-03,2024-10-03,9,6,0.670886
702,UNS 2024-10-03,2024-10-03,10,1,0.454061
702,UNS 2024-10-03,2024-10-03,11,1,0.353618
702,UNS 2024-10-03,2024-10-03,12,2,0.344255
702,UNS 2024-10-03,2024-10-03,13,7,0.812752
703,UNS 2024-10-04,2024-10-04,1,369,30.533797
703,UNS 2024-10-04,2024-10-04,2,18,19.396552
703,UNS 2024-10-04,2024-10-04,3,3,0.366635
703,UNS 2024-10-04,2024-10-04,4,167,23.616294
703,UNS 2024-10-04,2024-10-04,5,63,11.327441
703,UNS 2024-10-04,2024-10-04,6,4,7.755101
703,UNS 2024-10-04,2024-10-04,7,8,2.596667
703,UNS 2024-10-04,2024-10-04,8,1,1.771940
703,UNS 2024-10-04,2024-10-04,9,6,0.670886
703,UNS 2024-10-04,2024-10-04,10,1,0.454061
703,UNS 2024-10-04,2024-10-04,11,1,0.353618
703,UNS 2024-10-04,2024-10-04,12,2,0.344255
703,UNS 2024-10-04,2024-10-04,13,7,0.812752
748,UNS 2024-11-18,2024-11-18,1,332,29.251241
748,UNS 2024-11-18,2024-11-18,2,9,18.544217
748,UNS 2024-11-18,2024-11-18,3,4,0.524534
748,UNS 2024-11-18,2024-11-18,4,187,24.587989
748,UNS 2024-11-18,2024-11-18,5,67,11.201092
748,UNS 2024-11-18,2024-11-18,6,4,7.892438
748,UNS 2024-11-18,2024-11-18,7,8,2.431929
748,UNS 2024-11-18,2024-11-18,8,22,2.930987
748,UNS 2024-11-18,2024-11-18,9,6,0.670886
748,UNS 2024-11-18,2024-11-18,10,1,0.454061
748,UNS 2024-11-18,2024-11-18,11,1,0.353618
748,UNS 2024-11-18,2024-11-18,12,2,0.344255
748,UNS 2024-11-18,2024-11-18,13,7,0.812752
757,UNS 2024-11-27,2024-11-27,1,292,27.137297
757,UNS 2024-11-27,2024-11-27,2,22,19.357271
757,UNS 2024-11-27,2024-11-27,3,3,0.631614
757,UNS 2024-11-27,2024-11-27,4,207,25.774987
757,UNS 2024-11-27,2024-11-27,5,68,11.115864
757,UNS 2024-11-27,2024-11-27,6,5,8.012463
757,UNS 2024-11-27,2024-11-27,7,12,2.691666
757,UNS 2024-11-27,2024-11-27,8,24,2.643266
757,UNS 2024-11-27,2024-11-27,9,6,0.670886
757,UNS 2024-11-27,2024-11-27,10,1,0.454061
757,UNS 2024-11-27,2024-11-27,11,1,0.353618
757,UNS 2024-11-27,2024-11-27,12,2,0.344255
757,UNS 2024-11-27,2024-11-27,13,7,0.812752
783,UNS 2024-12-23,2024-12-23,1,299,27.652991
783,UNS 2024-12-23,2024-12-23,2,20,19.807542
783,UNS 2024-12-23,2024-12-23,3,3,0.507273
783,UNS 2024-12-23,2024-12-23,4,193,24.820014
783,UNS 2024-12-23,2024-12-23,5,69,11.173481
783,UNS 2024-12-23,2024-12-23,6,4,7.941994
783,UNS 2024-12-23,2024-12-23,7,10,2.481305
783,UNS 2024-12-23,2024-12-23,8,35,2.979829
783,UNS 2024-12-23,2024-12-23,9,6,0.670886
783,UNS 2024-12-23,2024-12-23,10,1,0.454061
783,UNS 2024-12-23,2024-12-23,11,1,0.353618
783,UNS 2024-12-23,2024-12-23,12,2,0.344255
783,UNS 2024-12-23,2024-12-23,13,7,0.812752
794,UNS 2025-01-03,2025-01-03,1,307,28.077818
794,UNS 2025-01-03,2025-01-03,2,24,20.274660
794,UNS 2025-01-03,2025-01-03,3,3,0.603792
794,UNS 2025-01-03,2025-01-03,4,178,23.928692
794,UNS 2025-01-03,2025-01-03,5,67,11.075705
794,UNS 2025-01-03,2025-01-03,6,4,8.032322
794,UNS 2025-01-03,2025-01-03,7,10,2.444062
794,UNS 2025-01-03,2025-01-03,8,40,2.927378
794,UNS 2025-01-03,2025-01-03,9,6,0.670886
794,UNS 2025-01-03,2025-01-03,10,1,0.454061
794,UNS 2025-01-03,2025-01-03,11,1,0.353618
794,UNS 2025-01-03,2025-01-03,12,2,0.344255
794,UNS 2025-01-03,2025-01-03,13,7,0.812752
799,UNS 2025-01-08,2025-01-08,1,297,27.615783
799,UNS 2025-01-08,2025-01-08,2,28,20.680874
799,UNS 2025-01-08,2025-01-08,3,3,0.588724
799,UNS 2025-01-08,2025-01-08,4,188,24.165886
799,UNS 2025-01-08,2025-01-08,5,69,10.912553
799,UNS 2025-01-08,2025-01-08,6,4,7.876071
799,UNS 2025-01-08,2025-01-08,7,10,2.677724
799,UNS 2025-01-08,2025-01-08,8,34,2.846814
799,UNS 2025-01-08,2025-01-08,9,6,0.670886
799,UNS 2025-01-08,2025-01-08,10,1,0.454061
799,UNS 2025-01-08,2025-01-08,11,1,0.353618
799,UNS 2025-01-08,2025-01-08,12,2,0.344255
799,UNS 2025-01-08,2025-01-08,13,7,0.812752
804,UNS 2025-01-13,2025-01-13,1,289,26.672833
804,UNS 2025-01-13,2025-01-13,2,46,21.799055
804,UNS 2025-01-13,2025-01-13,3,4,0.716222
804,UNS 2025-01-13,2025-01-13,4,177,23.474087
804,UNS 2025-01-13,2025-01-13,5,71,11.348796
804,UNS 2025-01-13,2025-01-13,6,4,7.813181
804,UNS 2025-01-13,2025-01-13,7,12,2.808867
804,UNS 2025-01-13,2025-01-13,8,30,2.731387
804,UNS 2025-01-13,2025-01-13,9,6,0.670886
804,UNS 2025-01-13,2025-01-13,10,1,0.454061
804,UNS 2025-01-13,2025-01-13,11,1,0.353618
804,UNS 2025-01-13,2025-01-13,12,2,0.344255
804,UNS 2025-01-13,2025-01-13,13,7,0.812752
806,UNS 2025-01-15,2025-01-15,1,280,26.105924
806,UNS 2025-01-15,2025-01-15,2,52,22.161702
806,UNS 2025-01-15,2025-01-15,3,3,0.743275
806,UNS 2025-01-15,2025-01-15,4,182,23.450418
806,UNS 2025-01-15,2025-01-15,5,69,11.317594
806,UNS 2025-01-15,2025-01-15,6,4,8.094747
806,UNS 2025-01-15,2025-01-15,7,13,2.774924
806,UNS 2025-01-15,2025-01-15,8,30,2.715842
806,UNS 2025-01-15,2025-01-15,9,6,0.670886
806,UNS 2025-01-15,2025-01-15,10,1,0.454061
806,UNS 2025-01-15,2025-01-15,11,1,0.353618
806,UNS 2025-01-15,2025-01-15,12,2,0.344255
806,UNS 2025-01-15,2025-01-15,13,7,0.812752
811,UNS 2025-01-20,2025-01-20,1,275,26.036614
811,UNS 2025-01-20,2025-01-20,2,60,22.274278
811,UNS 2025-01-20,2025-01-20,3,4,0.817792
811,UNS 2025-01-20,2025-01-20,4,175,23.046753
811,UNS 2025-01-20,2025-01-20,5,69,11.500752
811,UNS 2025-01-20,2025-01-20,6,4,8.177629
811,UNS 2025-01-20,2025-01-20,7,12,2.733475
