code,company,day,month,year,region,total,conservative,labour,libdems,ukip,green,snp,plaidcymru,other,sdlp,sinnfein,alliance,dup,uu
1,me,8,6,2017,Northern Ireland,100,1,,,2,1,,,4,12,27,10,28,15
1,me,8,6,2017,Scotland,101,27,23,7,1,1,42,,,,,,,
1,me,8,6,2017,North East England,100,35,51,7,5,1,,,1,,,,,
1,me,8,6,2017,North West England,100,40,46,7,5,1,,,1,,,,,
1,me,8,6,2017,Yorkshire and Humber,100,43,42,8,5,1,,,1,,,,,
1,me,8,6,2017,West Midlands,100,48,39,7,4,1,,,1,,,,,
1,me,8,6,2017,East Midlands,100,51,35,7,5,1,,,1,,,,,
1,me,8,6,2017,Wales,100,35,43,7,3,1,,10,1,,,,,
1,me,8,6,2017,East of England,100,56,28,10,4,1,,,1,,,,,
1,me,8,6,2017,London,100,36,43,16,2,2,,,1,,,,,
1,me,8,6,2017,South East England,100,55,28,10,4,2,,,1,,,,,
1,me,8,6,2017,South West England,100,49,27,18,3,2,,,1,,,,,
