id,moves,winner
Qb4YUXUp,"['Nf3', 'd5', 'g3', 'c6', 'Bg2', 'Bf5', 'O-O', 'e6', 'Nh4', 'Bg6', 'Nxg6', 'hxg6', 'e4', 'Nd7', 'e5', 'Ne7', 'd4', 'Nf5', 'f4', 'Be7', 'Nc3', 'g5', 'Bd2', 'g4', 'Be1', 'Qc7', 'Qd2', 'O-O-O', 'Qd3', 'Nb6', 'Qd2', 'Nc4', 'Ne2', 'Nxd2', 'Bxd2', 'Qb6', 'c3', 'c5', 'Be3', 'cxd4', 'Bf2', 'Bc5', 'c4', 'd3', 'Bxc5', 'Qxc5+', 'Nd4', 'Nxd4', 'Kh1', 'd2', 'Rfd1', 'Nf3', 'Bxf3', 'gxf3', 'Rxd2', 'Qe3', 'Rdd1', 'f2', 'Rf1', 'Qxg3', 'Rad1', 'Qxh2#']",black
4Y1rQ9x6,"['d4', 'b6', 'c4', 'Bb7', 'Nf3', 'c5', 'd5', 'd6', 'g3', 'g6', 'Bg2', 'f5', 'O-O', 'Bg7', 'Bg5', 'Nf6', 'Qd2', 'h6', 'Be3', 'g5', 'Qc2', 'f4', 'Bd2', 'e5', 'Qg6+', 'Kd7', 'Qxg7+', 'Qe7', 'Qxe7+', 'Kxe7', 'gxf4', 'Ne4', 'fxe5', 'Nxd2', 'Nbxd2', 'dxe5', 'Nxe5', 'Kf6', 'Ng4+', 'Kg6', 'f3', 'Rf8', 'Ne4', 'Bc8', 'Ne5+']",white
OHMDlcVH,"['d4', 'c5', 'dxc5', 'Qa5+', 'Nc3', 'Qxc5', 'Be3', 'Qd6', 'Nf3', 'Nc6', 'Nb5', 'Qb8', 'g3', 'a6', 'Bf4', 'd6', 'Nbd4', 'b5', 'Nxc6', 'Qc7', 'Ncd4', 'Nf6', 'Bg2', 'e5', 'Bg5', 'exd4', 'Bxf6', 'gxf6', 'Nxd4', 'Be7', 'Bxa8', 'Bb7', 'Bxb7', 'Qxb7', 'O-O', 'Rg8', 'Nf3', 'h5', 'Qd3', 'f5', 'Qxf5', 'Rg5', 'Nxg5', 'Bxg5', 'Qxg5', 'Qe4', 'Qxh5', 'Ke7', 'Qh4+', 'f6', 'Qxe4+']",white
Qf3fE0v7,"['e4', 'd6', 'Nf3', 'c6', 'd4', 'Nd7', 'Bc4', 'Nb6', 'Bb3', 'Bd7', 'c3', 'Qc7', 'O-O', 'O-O-O', 'Re1', 'e6', 'c4', 'f5', 'c5', 'Na8', 'cxd6', 'Bxd6', 'e5', 'Be7', 'Nc3', 'h6', 'Bf4', 'g5', 'Bd2', 'g4', 'd5', 'cxd5', 'Nd4', 'Kb8', 'Ncb5', 'Bxb5', 'Nxb5', 'Qd7', 'Nd4', 'a6', 'Ba4', 'Qc7', 'Rc1', 'Qb6', 'Be3', 'f4', 'Nc6+', 'Qxc6', 'Bxc6', 'bxc6']",black
Uvb3Ud6D,"['e4', 'c5', 'Nf3', 'd6', 'd3', 'Nf6', 'c3', 'Bg4', 'h4', 'g6', 'Be2', 'Bg7', 'Ng5', 'Bxe2', 'Qxe2', 'O-O', 'h5', 'Nc6', 'hxg6', 'hxg6', 'Qf3', 'Ne5', 'Qh3', 'Qd7', 'Qh2', 'Neg4', 'Qg1', 'd5', 'f3', 'Ne5', 'exd5', 'Nxd5', 'Bd2', 'Nxd3+', 'Kd1', 'Nxb2+', 'Kc2', 'Nc4', 'Qh2', 'Nf6', 'Ne4', 'Qf5', 'Bh6', 'Nxe4', 'Bxg7', 'Ng5+', 'Kb3', 'Kxg7', 'Qh6+', 'Kf6', 'Na3', 'Nxa3', 'Kxa3', 'Qc2', 'Rhc1', 'Qf5', 'Rab1', 'b6', 'g4', 'Qxf3', 'Rf1', 'Qxf1', 'Rxf1+', 'Ke6', 'Qxg5', 'f6', 'Qe3+', 'Kf7', 'g5', 'Rfe8', 'gxf6', 'exf6', 'Qh6', 'Rh8', 'Qe3', 'Rh5', 'Qd3', 'Rf5', 'Qd7+', 'Kf8', 'Rh1']",white
QkMyk1JF,"['e4', 'c5', 'd4', 'Nc6', 'c3', 'd6', 'Bd3', 'cxd4', 'Nf3', 'dxc3', 'Nxc3', 'Bg4', 'O-O', 'Nd4', 'Be3', 'Nxf3+', 'gxf3', 'Bd7', 'Kh1', 'e5', 'Rg1', 'f5', 'Nd5', 'Nh6', 'Rc1', 'Rc8', 'Qb3', 'Rxc1', 'Rxc1', 'Qh4', 'Rg1', 'Ng4', 'Rg2', 'Nxe3', 'fxe3', 'fxe4', 'Bxe4', 'Qe1+', 'Rg1', 'Qh4', 'Qxb7', 'Be6', 'Nc7+', 'Kf7', 'Nxe6+', 'Kxe6', 'Bd5+', 'Kf6', 'Qf7#']",white
AnJgvuOm,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'b5', 'Nc3', 'Bd7', 'Nf3', 'e6', 'b3', 'c6', 'bxc4', 'bxc4', 'Bxc4', 'a6', 'O-O', 'Bb4', 'Qc2', 'c5', 'dxc5', 'Bxc5', 'a4', 'Nf6', 'Ba3', 'Qb6', 'Bxc5', 'Qxc5', 'Rfd1', 'Qxc4', 'Ne5', 'Qc7', 'Rab1', 'Nc6', 'Nxf7', 'Kxf7', 'e5', 'Nh5', 'Qe4', 'g6', 'Qf3+', 'Kg7', 'g4', 'Rhf8', 'Qg2', 'Nf4', 'Qg3', 'Nxe5', 'Qe3', 'Bc6', 'Ne4', 'Rae8', 'Ng5', 'Nxg4', 'Qg3', 'Ne2+', 'Kf1', 'Nxg3+', 'hxg3', 'Qe5', 'f3', 'Qxg5', 'Kg2', 'Ne3+', 'Kf2', 'Nxd1+', 'Rxd1', 'Qc5+', 'Ke1', 'Qc2', 'Rd7+', 'Rf7', 'Kf1']",white
AmFphKpR,"['e3', 'g6', 'd3', 'Bg7', 'Nf3', 'c6', 'Be2', 'e6', 'c3', 'd5', 'Bd2', 'f5', 'Na3', 'Nf6', 'O-O', 'O-O', 'g3', 'b5', 'Kh1', 'a5', 'Nc2', 'Nbd7', 'a3', 'Nc5', 'Rb1', 'Na4', 'b3', 'Nb6', 'c4', 'a4', 'c5', 'Nbd7', 'b4', 'e5', 'Bc3', 'e4', 'Ne5', 'Nxe5', 'Bxe5', 'Ng4', 'Bxg7', 'Kxg7', 'Bxg4', 'fxg4', 'd4', 'Qf6', 'Kg2', 'Qf3+', 'Kg1', 'h5', 'Ne1', 'Be6', 'Nxf3', 'gxf3', 'Rc1', 'Rh8', 'Kh1', 'h4', 'Rg1', 'hxg3', 'Rxg3', 'Rh6', 'Qg1', 'Rah8', 'Rg5', 'Bf5', 'Rxf5', 'Rxh2+', 'Qxh2', 'Rxh2+', 'Kxh2', 'gxf5', 'Rg1+', 'Kf6', 'Kh3', 'Kf7', 'Kh4', 'Kf6', 'Rg5', 'Ke6', 'Kh5', 'Kf6', 'Rg6+', 'Kf7', 'Kg5', 'f4', 'Rf6+', 'Ke7', 'Rxf4']",white
c4rGWsjd,"['e4', 'Nf6', 'Nc3', 'd6', 'd4', 'Nbd7', 'Be3', 'c6', 'f3', 'e5', 'Qd2', 'Be7', 'O-O-O', 'Qc7', 'Kb1', 'b5', 'Bd3', 'b4', 'Nce2', 'a5', 'g4', 'h6', 'h4', 'Bb7', 'Nh3', 'c5', 'g5', 'Nh5', 'dxc5', 'dxc5', 'f4', 'c4', 'fxe5', 'cxd3', 'cxd3', 'Nxe5', 'Nd4', 'Rd8', 'Nf4', 'Rxd4', 'Nxh5', 'Nf3', 'Qf2', 'Rd6', 'Qxf3', 'hxg5', 'hxg5', 'Rg8', 'Rdf1', 'Bd8', 'Bd4', 'Rxd4', 'Nf4', 'Rd7', 'Ne6', 'Qd6', 'Rh7', 'Be7', 'Nxg7+', 'Kd8', 'Nf5', 'Qc5', 'Nxe7', 'Qxe7', 'Rxf7', 'Qxf7']",black
ENFqz8BR,"['d4', 'd6', 'c4', 'g6', 'Nc3', 'Bg7', 'e4', 'Nf6', 'Be2', 'O-O', 'Nf3', 'Nbd7', 'O-O', 'e5', 'Re1', 'a6', 'Be3', 'h6', 'Qc2', 'Kh7', 'b4', 'b6', 'Rac1', 'Bb7', 'd5', 'Bc8', 'Na4', 'Ng8', 'c5', 'b5', 'Nb2', 'f5', 'cxd6', 'cxd6', 'Qc6', 'Rb8', 'Qxd6', 'fxe4', 'Nd2', 'Ndf6', 'Qxb8', 'Nxd5', 'Nxe4', 'Nxe3', 'fxe3', 'Qf6', 'Nxf6+']",white
